geom_type,lon,lat,@id,admin_level,admin_name,amenity,boat_rental,cargo,ferry_stop_id,name,notes,operational_status,operator,operator_name,public_transport,source:name,source_date,addr:street,alt_name,ferry,@geometry,website,building,source,check_date,wheelchair,amenity:note,boat:rental,survey:date,operator:name,description
Point,3.3966119,6.4010617,node/13774166342,6,Amuwo_Odofin,ferry_terminal,true,passengers,130,Tarkwa Bay,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,true,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.4245956,6.4392275,node/13774166359,6,Eti_Osa,ferry_terminal,,passengers,134,Fiki Marine (VI),admin_level 6 represents local government areas,operational,private,,stop_position,stears open data,,,,,,,,survey,,,this location is a ferry terminal with active commercial ferry activity.,true,2025-02-22,,
Point,3.3521207,6.424203,node/13774166406,6,amuwo odofin,ferry_terminal,true,passengers,64,igbo elejo,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3477455,6.4263514,node/13774166416,6,apapa,ferry_terminal,true,passengers,84,isoda,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3077366,6.4590664,node/13774166587,6,Amuwo_Odofin,ferry_terminal,true,passengers,14,Mile 2/NIWA,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,2.8607495,6.4195637,node/13774166624,6,badagry,ferry_terminal,true,passengers,57,gbaji yekeme jetty,admin_level 6 represents local government areas,operational,private,private,station,public tech studio,2026-04-21,,,yes,,,,survey,,,,,,,
Point,3.2366781,6.4370435,node/13774166692,6,amuwo odofin,ferry_terminal,true,passengers,18,abule osun,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3107923,6.4373424,node/13774166701,6,amuwo odofin,ferry_terminal,true,passengers,92,kirikiri,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3982996,6.4262458,node/13774166743,6,apapa,ferry_terminal,true,passengers,106,ogogoro village,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2617318,6.4076092,node/13774166750,6,amuwo odofin,ferry_terminal,true,passengers,60,ibese,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2055818,6.4063128,node/13774166754,6,amuwo odofin,ferry_terminal,true,passengers,77,ilashe,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3433885,6.4353345,node/13774166860,6,apapa,ferry_terminal,false,passengers,55,first gate (tin can island),admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3515809,6.4504109,node/13774166862,6,apapa,ferry_terminal,false,passengers,35,boundary (apapa)/number 3 (apapa) waterside,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3511636,6.4503929,node/13774166863,6,ajeromi/ifelodun,ferry_terminal,false,passengers,16,number 3 (ajegunle) waterside,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.9752394,6.5775334,node/13774167322,6,epe,ferry_terminal,true,passengers,46,epe ayetoro jetty,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,4.095192,6.5194041,node/13774167323,6,epe,ferry_terminal,true,passengers,17,abomiti-nla epe,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.62685,6.502234,node/13774167376,6,epe,ferry_terminal,false,passengers,152,kabiyesi itomu jetty,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.6287304,6.5007024,node/13774167377,6,epe,ferry_terminal,true,passengers,86,itomu jetty,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
