geom_type,lon,lat,@id,admin_level,admin_name,amenity,boat_rental,cargo,ferry_stop_id,name,notes,operational_status,operator,operator_name,public_transport,source:name,source_date,addr:street,alt_name,ferry,@geometry,website,building,source,check_date,wheelchair,amenity:note,boat:rental,survey:date,operator:name,description
Point,3.2236757,6.406095,node/12814706557,6,Amuwo_Odofin,ferry_terminal,true,passengers,122,Salt Beach,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry landing with active commercial ferry activity.,true,2025-02-22,,
Point,3.3999032,6.528356,node/12814706577,6,Somolu,ferry_terminal,true,passengers,32,Bariga Waterfront,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,true,2025-02-22,,
Point,3.2553651,6.4250613,node/12814706580,6,Amuwo_Odofin,ferry_terminal,true,passengers,59,Ibasa,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.2556393,6.4115215,node/12814706589,6,Amuwo_Odofin,ferry_terminal,true,passengers,62,Ibeshe Palace,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.1443087,6.4497223,node/12814706591,6,Ojo,ferry_terminal,true,passengers,106,Ese Ofin,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.3441432,6.4368636,node/12814706594,6,Ajeromi_Ifelodun,ferry_terminal,true,passengers,75,IKO/Temidire,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.3493073,6.4426193,node/12814706605,6,Ajeromi_Ifelodun,ferry_terminal,false,passengers,104,Number 1A Waterside,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.4076019,6.5825691,node/12814706624,6,Kosofe,ferry_terminal,false,passengers,23,Agboyi Ketu,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry terminal with active commercial ferry activity.,false,2025-02-22,Lagos State Waterways Authority (LASWA),
Point,3.3507032,6.4175204,node/12814706730,6,Amuwo_Odofin,ferry_terminal,true,passengers,90,Jemuje,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.3588512,6.4176319,node/12814706733,6,Amuwo_Odofin,ferry_terminal,false,passengers,24,agojedo/agbejedo,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.3622931,6.4179592,node/12814706734,6,Amuwo_Odofin,ferry_terminal,true,passengers,129,Itomoro,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.2381104,6.4176494,node/12814706752,6,Amuwo_Odofin,ferry_terminal,true,passengers,73,Ikare Palace,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.14158,6.4471404,node/12814706811,6,Ojo,ferry_terminal,false,passengers,105,Egan Landing,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,3.2575102,6.4246842,node/12814706829,6,Amuwo_Odofin,ferry_terminal,true,passengers,30,Baba Shino,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",true,2025-02-22,,
Point,3.4084022,6.580283,node/12814706991,6,kosofe,ferry_terminal,false,passengers,21,agboyi 2,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,2.8760273,6.4160118,node/12814707188,6,badagry,ferry_terminal,true,passengers,13,jegba marina badagry/commando jetty,admin_level 6 represents local government areas,operational,private,private,station,public tech studio,2026-04-21,,,yes,,,,survey,,,,,,,
Point,3.3358476,6.4379319,node/12814707236,6,Amuwo_Odofin,ferry_terminal,true,passengers,38,Coconut Landing,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,yes,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",true,2025-02-22,,
Point,3.376942,6.4327699,node/12814707241,6,apapa,ferry_terminal,true,passengers,121,sagbokoji,admin_level 6 represents local government areas,operational,public,lagos state waterways authority (laswa),stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2152237,6.4079284,node/12814707702,6,Amuwo_Odofin,ferry_terminal,true,passengers,135,Uncle Ben,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,this location is a ferry jetty with active commercial ferry activity.,false,2025-02-22,,
Point,3.2366016,6.4174615,node/12814707706,6,Amuwo_Odofin,ferry_terminal,true,passengers,74,ikare town landing,admin_level 6 represents local government areas,operational,private,private,stop_position,stears open data,2026-04-21,,,,,,,survey,,,"this location is a ferry landing with active commercial ferry activity; however, the facility is less developed and lacks well-engineered structures.",false,2025-02-22,,
Point,2.884629,6.405508,node/13749439554,6,badagry,ferry_terminal,true,passengers,221,point of no return,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.355594,6.426392,node/13749439555,6,apapa,ferry_terminal,true,passengers,220,alelegbene,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3505,6.4461,node/13749439563,6,apapa,ferry_terminal,false,passengers,151,number 1 (apapa) waterside,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.35,6.4463,node/13749439564,6,ajeromi/ifelodun,ferry_terminal,false,passengers,149,number 1 (ajegunle) waterside,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3508931,6.4484401,node/13749439565,6,ajeromi/ifelodun,ferry_terminal,false,passengers,147,number 2 (ajegunle) waterside/kumuyi street(ajegunle),admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,2.708001,6.444708,node/13749439570,6,badagry,ferry_terminal,false,passengers,139,pashi,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3883303,6.4769088,node/13749439571,6,lagos mainland,ferry_terminal,false,passengers,137,white sand oyingbo,admin_level 6 represents local government areas,non-operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,2.8836426,6.4113884,node/13749439577,6,badagry,ferry_terminal,true,passengers,126,slave route landing,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.348589,6.4410399,node/13749439579,6,ajeromi/ifelodun,ferry_terminal,false,passengers,124,second badagry,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2476338,6.4156597,node/13749439582,6,amuwo odofin,ferry_terminal,true,passengers,120,power line,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.2524696,6.4119709,node/13749439583,6,amuwo odofin,ferry_terminal,true,passengers,119,police,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.4174567,6.4641704,node/13749439584,6,eti osa,ferry_terminal,false,passengers,117,osborne ferry terminal (ikoyi),admin_level 6 represents local government areas,non-operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.4097493,6.5795615,node/13749439587,6,kosofe,ferry_terminal,true,passengers,112,agboyi 1,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.351415,6.4482307,node/13749439591,6,apapa,ferry_terminal,false,passengers,105,number 2 (apapa) waterside,admin_level 6 represents local government areas,operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
Point,3.3890667,6.4353942,node/13749439593,6,apapa,ferry_terminal,false,passengers,103,muller,admin_level 6 represents local government areas,non-operational,private,private,stop_position,public tech studio,2026-04-21,,,,,,,survey,,,,,,,
