geom_type,lon,lat,@id,bridge,highway,layer,name,oneway,ref,@geometry,lanes,maxspeed,surface,alt_name,source,maxweight:signed,sidewalk:left,sidewalk:right,bicycle,foot,incline,motor_vehicle,axle_load,bridge:name,electrified,frequency,gauge,highspeed,loading_gauge,metre_load,operator,operator:short,operator:wikidata,passenger_lines,railway,railway:atc,railway:ballastless,railway:ebicab,railway:etcs,railway:radio,railway:tilting,railway:track_class,railway:traffic_mode,source:maxspeed,source:maxspeed:date,start_date,tracks,usage,voltage,wikidata,wikipedia,tracktype,width,handrail,ramp,step_count,tactile_paving,lanes:backward,lanes:forward,smoothness,destination,service,boat,waterway,lit,destination:street,destination:ref,access,is_in,nat_ref,lane_markings,int_ref,note,tourism,old_ref,sidewalk:both,footway,fixme,maxspeed:backward,ford,construction:electrified,covered,construction,construction:railway,hgv,psv,junction,sidewalk,aeroway,level,area:highway,embankment,barrier,description
Point,-8.666907,37.1519861,way/61655018,yes,unclassified,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6880161,37.0861369,way/61738623,yes,residential,1,Estrada do Porto de Mós,,,center,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6792428,37.1131702,way/61830293,yes,footway,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1029234,6.4995422,way/75309444,yes,trunk,1,Lagos-Badagry Expressway,yes,F100,center,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,3.1029386,6.4996476,way/75309536,yes,trunk,1,Lagos-Badagry Expressway,yes,F100,center,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6879379,37.087131,way/82289545,yes,footway,1,,,,center,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.644946,37.1548433,way/84983001,yes,primary,1,,,,center,,50,asphalt,,,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6937991,37.1680635,way/84983004,yes,secondary,1,,,,center,2,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6944129,37.1721705,way/84983007,yes,tertiary,1,,,EM 535,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6590423,37.1526146,way/84983010,yes,tertiary,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6729498,37.1578481,way/84983012,yes,secondary,1,,,,center,2,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.634492,37.1587545,way/84983340,yes,primary,1,,yes,EN 125,center,1,,asphalt,,,no,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6475005,37.1747956,way/84983343,yes,tertiary,1,,,,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.7328462,37.1545058,way/84994300,yes,primary,1,,,,center,2,50,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
