geom_type,lon,lat,@id,barrier,historic,@geometry,building,man_made,tower:type,alt_name,amenity,denomination,heritage,heritage:operator,heritage:ref,heritage:website,heritage:website:sipa,name,protection_title,ref:dgpc,ref:ipa,religion,site_status,source:ref,wikidata,wikimedia_commons,wikipedia,addr:housenumber,addr:street,check_date,contact:facebook,contact:instagram,contact:twitter,fee,opening_hours,phone,tourism,website,stars,addr:housename,name:en,addr:city,addr:postcode,air_conditioning,description,guest_house,internet_access,operator,reservation,rooms,disused:railway,note,contact:phone,contact:website,landuse,name:de,bar,brand,brand:wikidata,email,image,internet_access:fee,payment:credit_cards,payment:debit_cards,smoking,source,wheelchair,tents,caravans,drinking_water,power_supply,sanitary_dump_station,shower,toilets,access,leisure,zoo,bridge,highway,layer,parking,height,check_date:internet_access,geological,geological:site,natural,official_name,place,breakfast,swimming_pool,related_law,short_protection_title,building:part,name:zh,brand:wikipedia,start_date,building:levels,elevator,park_ride,supervised,surface,addr:country,addr:state,payment:american_express,payment:cash,payment:cheque,payment:mastercard,payment:visa,shop,castle_type,fireplace,information,map_size,addr:unit,contact:email,contact:fax,contact:mobile,archaeological_site,historic:civilization,historic:period,ruins,heritage:since,heritage:website:arqueologia,ref:cns,artist_name,artwork_type,direction,name:pt,url,internet_access:ssid,artist:wikidata,material,memorial,subject:wikidata,area,fortification_type,payment:diners_club,payment:discover_card,payment:maestro,payment:visa_electron,inscription,bicycle,map_type,network,wreck,seamark:type,sport,guidepost,hiking,marker_type,ref,addr:place,fax,route_marker,attached_to,guide_type,location,disused,charge,fixme,name:nl,board_type,historic:era,megalith_type,ele,survey:date,outdoor_seating,name:hu,designation,field,attraction,public_transport,museum,bench,bin,lit,shelter,tactile_paving,subject:name,subject:wikipedia,support,facility_manager,source:position,status,facility_use,users_PLWD,users_boy,users_elderly,users_female,users_girl,users_men,camp_site,check_date:currency:XBT,currency:XBT,dog,payment:lightning,payment:lightning_contactless,payment:onchain,picnic_table,static_caravans,not:name,short_name,accommodation
Point,-8.6733893,37.1040931,way/92693159,,,center,public,,,,,,,,,,,Centro das Ciências de Lagos,,,,,,,,,,34,Rua Doutor Faria e Silva,2024-09-06,cienciavivalagos,cienciavivalagos,CCVLagos,yes,Tu-Su 10:00-18:00; Mo off,+351 282 770 000,museum,https://lagos.cienciaviva.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6727105,37.1110671,way/92717404,,,center,yes,,,,,,,,,,,Marina Club,,,,,,,,,,,,2026-04-06,,,,,,,hotel,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6725998,37.1116734,way/92717630,,,center,yes,,,,,,,,,,,Marina Club,,,,,,,,,,,,,,,,,,,hotel,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6731895,37.1115185,way/92717632,,,center,yes,,,,,,,,,,,Marina Club,,,,,,,,,,,,2026-05-02,,,,,,,hotel,,4,Edifício Estibordo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6727081,37.1093558,way/92718322,,railway_station,center,yes,,,,,,,,,,,Antiga Estação de Lagos,,,,,,,,,,,,,,,,,,,,,,,Old Lagos railway station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6721728,37.0993728,way/92927131,,,center,yes,,,,,,,,,,,Casa Zefiro,,,,,,,,,,,,,,,,,,,guest_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6710963,37.1000933,way/92927147,,,center,yes,,,,,,,,,,,Infante Guesthouse,,,,,,,,,,1,Travessa do Mar,,,,,,,+351 911 990 984,guest_house,https://www.infanteguesthouse.com/,,,,Lagos,8600-633,yes,"Located in the charismatic Travessa do Mar, in the heart of the historic center of Lagos. The decor is inspired by the simplicity and comfort of a typical beach house, offering to its guests an enjoyable environment that invites you to rest & relax.",guest_house,yes,Infante Guesthouse,required,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6701389,37.0998862,way/92964080,,,center,yes,,,,,,,,,,,Palácio dos Governadores,,,,,,,,,,,,,,,,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.67387,37.0988504,way/92965738,city_wall,citywalls,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point,-8.6724516,37.097695,way/92965818,,tower,center,yes,tower,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
